X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,geotracker_meta
4.3630067,50.84771779,0,0,82,102.59,2022-07-20 06:55:23+00,,,,,,,,,,,,,,,,,,,,,,
4.36294172,50.84761283,0,0,83,103.91,2022-07-20 06:55:43+00,,,,,,,,,,,,,,,,,,,,,,
4.36287712,50.84752889,0,0,84,104.96,2022-07-20 06:55:44+00,,,,,,,,,,,,,,,,,,,,,,
4.36280381,50.84742455,0,0,85,108.15,2022-07-20 06:55:46+00,,,,,,,,,,,,,,,,,,,,,,
4.36272141,50.84732549,0,0,86,112.58,2022-07-20 06:55:48+00,,,,,,,,,,,,,,,,,,,,,,
4.36265047,50.84721642,0,0,87,116.08,2022-07-20 06:55:50+00,,,,,,,,,,,,,,,,,,,,,,
4.36261467,50.84712362,0,0,88,117.98,2022-07-20 06:55:52+00,,,,,,,,,,,,,,,,,,,,,,
4.3625501,50.84702601,0,0,89,120.1,2022-07-20 06:56:43+00,,,,,,,,,,,,,,,,,,,,,,
4.36247544,50.84692552,0,0,90,120.52,2022-07-20 06:56:46+00,,,,,,,,,,,,,,,,,,,,,,
4.36239059,50.84682734,0,0,91,120.84,2022-07-20 06:56:49+00,,,,,,,,,,,,,,,,,,,,,,
4.36229466,50.84669803,0,0,92,122,2022-07-20 06:56:52+00,,,,,,,,,,,,,,,,,,,,,,
4.36221524,50.84659909,0,0,93,123.25,2022-07-20 06:56:54+00,,,,,,,,,,,,,,,,,,,,,,
4.36211754,50.84649281,0,0,94,124.24,2022-07-20 06:56:56+00,,,,,,,,,,,,,,,,,,,,,,
4.3620231,50.84637769,0,0,95,125.19,2022-07-20 06:56:58+00,,,,,,,,,,,,,,,,,,,,,,
4.36194192,50.84624837,0,0,96,127.35,2022-07-20 06:57:00+00,,,,,,,,,,,,,,,,,,,,,,
4.36187108,50.8461174,0,0,97,127.46,2022-07-20 06:57:02+00,,,,,,,,,,,,,,,,,,,,,,
4.36178102,50.8459773,0,0,98,126.82,2022-07-20 06:57:04+00,,,,,,,,,,,,,,,,,,,,,,
4.36168759,50.84583279,0,0,99,125.78,2022-07-20 06:57:06+00,,,,,,,,,,,,,,,,,,,,,,
4.36159932,50.84569202,0,0,100,124.72,2022-07-20 06:57:08+00,,,,,,,,,,,,,,,,,,,,,,
4.36149553,50.84552787,0,0,101,123.84,2022-07-20 06:57:10+00,,,,,,,,,,,,,,,,,,,,,,
4.36144234,50.84544448,0,0,102,123.61,2022-07-20 06:57:11+00,,,,,,,,,,,,,,,,,,,,,,
4.3613424,50.84528634,0,0,103,123.61,2022-07-20 06:57:13+00,,,,,,,,,,,,,,,,,,,,,,
4.36124288,50.84512781,0,0,104,124.07,2022-07-20 06:57:15+00,,,,,,,,,,,,,,,,,,,,,,
4.3611471,50.84497083,0,0,105,124.48,2022-07-20 06:57:17+00,,,,,,,,,,,,,,,,,,,,,,
4.36105714,50.84481824,0,0,106,124.9,2022-07-20 06:57:19+00,,,,,,,,,,,,,,,,,,,,,,
4.36097007,50.84466922,0,0,107,125.48,2022-07-20 06:57:21+00,,,,,,,,,,,,,,,,,,,,,,
4.360882,50.84452234,0,0,108,126.16,2022-07-20 06:57:23+00,,,,,,,,,,,,,,,,,,,,,,
4.36079477,50.84437466,0,0,109,126.98,2022-07-20 06:57:25+00,,,,,,,,,,,,,,,,,,,,,,
4.36071793,50.84423925,0,0,110,127.65,2022-07-20 06:57:27+00,,,,,,,,,,,,,,,,,,,,,,
4.36064918,50.84411528,0,0,111,127.7,2022-07-20 06:57:29+00,,,,,,,,,,,,,,,,,,,,,,
4.3606187,50.84399843,0,0,112,127.71,2022-07-20 06:57:32+00,,,,,,,,,,,,,,,,,,,,,,
4.36069562,50.84391985,0,0,113,127.46,2022-07-20 06:57:53+00,,,,,,,,,,,,,,,,,,,,,,
4.3606554,50.84378985,0,0,114,126.07,2022-07-20 06:57:57+00,,,,,,,,,,,,,,,,,,,,,,
4.36060621,50.84368888,0,0,115,124.52,2022-07-20 06:57:59+00,,,,,,,,,,,,,,,,,,,,,,
4.36055978,50.84358902,0,0,116,122.97,2022-07-20 06:58:01+00,,,,,,,,,,,,,,,,,,,,,,
4.36049124,50.84346201,0,0,117,121.95,2022-07-20 06:58:04+00,,,,,,,,,,,,,,,,,,,,,,
4.3604386,50.8433599,0,0,118,120.87,2022-07-20 06:58:06+00,,,,,,,,,,,,,,,,,,,,,,
4.36039356,50.84326509,0,0,119,119.81,2022-07-20 06:58:08+00,,,,,,,,,,,,,,,,,,,,,,
4.36035104,50.84317273,0,0,120,118.38,2022-07-20 06:58:10+00,,,,,,,,,,,,,,,,,,,,,,
4.36027622,50.84308548,0,0,121,117.09,2022-07-20 06:58:12+00,,,,,,,,,,,,,,,,,,,,,,
4.36017091,50.84300287,0,0,122,117.25,2022-07-20 06:58:14+00,,,,,,,,,,,,,,,,,,,,,,
4.36004701,50.84291257,0,0,123,118.21,2022-07-20 06:58:16+00,,,,,,,,,,,,,,,,,,,,,,
4.35990696,50.84281302,0,0,124,118.91,2022-07-20 06:58:18+00,,,,,,,,,,,,,,,,,,,,,,
4.35978488,50.84272932,0,0,125,119.34,2022-07-20 06:58:20+00,,,,,,,,,,,,,,,,,,,,,,
4.35966276,50.84266163,0,0,126,119.77,2022-07-20 06:58:22+00,,,,,,,,,,,,,,,,,,,,,,
4.35954163,50.8426011,0,0,127,119.95,2022-07-20 06:58:24+00,,,,,,,,,,,,,,,,,,,,,,
4.35944134,50.84251811,0,0,128,119.84,2022-07-20 06:58:27+00,,,,,,,,,,,,,,,,,,,,,,
4.35932877,50.84241937,0,0,129,119.69,2022-07-20 06:58:30+00,,,,,,,,,,,,,,,,,,,,,,
4.3592089,50.84231423,0,0,130,119.89,2022-07-20 06:58:33+00,,,,,,,,,,,,,,,,,,,,,,
4.35912263,50.84220231,0,0,131,119.78,2022-07-20 06:58:36+00,,,,,,,,,,,,,,,,,,,,,,
4.3590621,50.84210133,0,0,132,119.68,2022-07-20 06:58:39+00,,,,,,,,,,,,,,,,,,,,,,
4.35896684,50.84201399,0,0,133,119.6,2022-07-20 06:58:42+00,,,,,,,,,,,,,,,,,,,,,,
4.35886529,50.84193556,0,0,134,119.48,2022-07-20 06:58:45+00,,,,,,,,,,,,,,,,,,,,,,
4.35874884,50.84184901,0,0,135,119.35,2022-07-20 06:58:48+00,,,,,,,,,,,,,,,,,,,,,,
4.35865812,50.84177734,0,0,136,118.94,2022-07-20 06:58:50+00,,,,,,,,,,,,,,,,,,,,,,
4.35852997,50.84168427,0,0,137,118.96,2022-07-20 06:58:53+00,,,,,,,,,,,,,,,,,,,,,,
4.35840722,50.8415988,0,0,138,119.1,2022-07-20 06:58:56+00,,,,,,,,,,,,,,,,,,,,,,
4.35829759,50.84152222,0,0,139,119.87,2022-07-20 06:59:00+00,,,,,,,,,,,,,,,,,,,,,,
4.35819636,50.8414466,0,0,140,121.08,2022-07-20 06:59:24+00,,,,,,,,,,,,,,,,,,,,,,
4.35808087,50.84136832,0,0,141,121.84,2022-07-20 06:59:27+00,,,,,,,,,,,,,,,,,,,,,,
4.35795682,50.84128888,0,0,142,125.88,2022-07-20 06:59:29+00,,,,,,,,,,,,,,,,,,,,,,
