"t","longitude","latitude","x","y","label"
"84","2021-11-14 15:19:28",12.308882,56.128223,705640.675472879,6225283.05280255,"01-sailing"
"85","2021-11-14 15:19:40",12.308882,56.128222,705640.680812251,6225282.94157326,"01-sailing"
"86","2021-11-14 15:20:19",12.308882,56.128215,705640.718187851,6225282.16296821,"01-sailing"
"87","2021-11-14 15:20:28",12.30888,56.128208,705640.631319624,6225281.37839906,"01-sailing"
"88","2021-11-14 15:20:40",12.308875,56.128207,705640.326049425,6225281.25225951,"01-sailing"
"89","2021-11-14 15:20:49",12.308872,56.128207,705640.139683685,6225281.24331337,"01-sailing"
"90","2021-11-14 15:21:00",12.308875,56.12821,705640.310031347,6225281.58594739,"01-sailing"
"91","2021-11-14 15:21:49",12.308867,56.128215,705639.786359345,6225282.11823749,"01-sailing"
"92","2021-11-14 15:22:00",12.308867,56.128218,705639.770341304,6225282.45192536,"01-sailing"
"93","2021-11-14 15:22:09",12.308867,56.128223,705639.743644568,6225283.00807183,"01-sailing"
"94","2021-11-14 15:22:39",12.30888,56.128225,705640.540550368,6225283.26929703,"01-sailing"
"95","2021-11-14 15:22:49",12.30888,56.128228,705640.524532262,6225283.60298491,"01-sailing"
"96","2021-11-14 15:22:59",12.308883,56.128232,705640.689540404,6225284.05684824,"01-sailing"
"97","2021-11-14 15:23:28",12.308883,56.128233,705640.684201031,6225284.16807753,"01-sailing"
"98","2021-11-14 15:23:39",12.308887,56.128235,705640.922009754,6225284.40246434,"01-sailing"
"99","2021-11-14 15:23:49",12.308888,56.128233,705640.994810386,6225284.18298782,"01-sailing"
"100","2021-11-14 15:23:59",12.308887,56.128232,705640.938027895,6225284.06877647,"01-sailing"
"101","2021-11-14 15:24:59",12.308877,56.128223,705640.364863443,6225283.03789229,"01-sailing"
"102","2021-11-14 15:25:18",12.308878,56.128223,705640.42698533,6225283.04087434,"01-sailing"
"103","2021-11-14 15:25:59",12.308903,56.12822,705641.996050723,6225282.78173803,"01-sailing"
"104","2021-11-14 15:26:09",12.30894,56.128207,705644.363973738,6225281.44609461,"01-sailing"
"105","2021-11-14 15:26:18",12.308977,56.12819,705646.753256357,6225279.66553532,"01-sailing"
"106","2021-11-14 15:26:29",12.309065,56.128158,705652.390856089,6225276.36863021,"01-sailing"
"107","2021-11-14 15:26:39",12.309253,56.1281,705664.379507362,6225270.47800603,"01-sailing"
"108","2021-11-14 15:26:49",12.309497,56.128005,705680.044627123,6225260.6389571,"01-sailing"
"109","2021-11-14 15:26:59",12.30978,56.127893,705698.223385913,6225249.02539828,"01-sailing"
"110","2021-11-14 15:27:09",12.310138,56.127783,705721.050754566,6225237.85811098,"01-sailing"
"111","2021-11-14 15:27:12",12.310208,56.127768,705725.47945655,6225236.3984992,"01-sailing"
"112","2021-11-14 15:27:16",12.310347,56.127742,705734.253380835,6225233.92122266,"01-sailing"
"113","2021-11-14 15:27:18",12.310415,56.12773,705738.541821378,6225232.78934508,"01-sailing"
"114","2021-11-14 15:27:22",12.31058,56.127723,705748.829452403,6225232.50302355,"01-sailing"
"115","2021-11-14 15:27:25",12.310643,56.12773,705752.705784294,6225233.46959711,"01-sailing"
"116","2021-11-14 15:27:29",12.310753,56.127762,705759.368319098,6225237.35714027,"01-sailing"
"117","2021-11-14 15:27:32",12.310815,56.1278,705763.016905762,6225241.76884505,"01-sailing"
"118","2021-11-14 15:27:38",12.310895,56.127917,705767.361623441,6225255.02136991,"01-sailing"
"119","2021-11-14 15:27:42",12.310902,56.127977,705767.475922759,6225261.7160093,"01-sailing"
"120","2021-11-14 15:27:46",12.310933,56.128057,705768.974298365,6225270.70684645,"01-sailing"
"121","2021-11-14 15:27:49",12.310947,56.128145,705769.373850312,6225280.53679116,"01-sailing"
"122","2021-11-14 15:27:53",12.31096,56.128213,705769.818130524,6225288.13916804,"01-sailing"
"123","2021-11-14 15:27:57",12.310967,56.128307,705769.750765782,6225298.61560074,"01-sailing"
"124","2021-11-14 15:27:59",12.310973,56.128357,705769.856358196,6225304.19496458,"01-sailing"
"125","2021-11-14 15:28:02",12.31098,56.128433,705769.885158929,6225312.66927174,"01-sailing"
"126","2021-11-14 15:28:07",12.310993,56.128568,705769.971460553,6225327.7240058,"01-sailing"
"127","2021-11-14 15:28:10",12.311008,56.128652,705770.454482023,6225337.11201841,"01-sailing"
"128","2021-11-14 15:28:13",12.311027,56.128738,705771.175297266,6225346.73442548,"01-sailing"
"129","2021-11-14 15:28:16",12.311055,56.128857,705772.278878161,6225360.05425254,"01-sailing"
"130","2021-11-14 15:28:18",12.311063,56.128887,705772.61555659,6225363.41500069,"01-sailing"
"131","2021-11-14 15:28:29",12.311168,56.12922,705777.358978768,6225400.76765031,"01-sailing"
"132","2021-11-14 15:28:38",12.3112725,56.129512,705782.290296821,6225433.55841869,"01-sailing"
"133","2021-11-14 15:28:43",12.311353,56.129645,705786.580257839,6225448.59213026,"01-sailing"
"134","2021-11-14 15:28:47",12.311425,56.129763,705790.422322474,6225461.93204251,"01-sailing"
"135","2021-11-14 15:28:49",12.311487,56.12985,705793.808821364,6225471.79401025,"01-sailing"
"136","2021-11-14 15:28:52",12.311525,56.12991,705795.848726124,6225478.58116763,"01-sailing"
"137","2021-11-14 15:28:55",12.311587,56.129998,705799.229851431,6225488.55436956,"01-sailing"
"138","2021-11-14 15:29:00",12.31172,56.130173,705806.556459522,6225508.41641425,"01-sailing"
"139","2021-11-14 15:29:02",12.311772,56.130227,705809.498045447,6225514.57798756,"01-sailing"
"140","2021-11-14 15:29:06",12.311862,56.130347,705814.447399843,6225528.19410593,"01-sailing"
"141","2021-11-14 15:29:10",12.311962,56.130463,705820.039278095,6225541.39516145,"01-sailing"
"142","2021-11-14 15:29:17",12.31213,56.130673,705829.352733792,6225565.25473841,"01-sailing"
"143","2021-11-14 15:29:18",12.312157,56.130702,705830.874916105,6225568.5609768,"01-sailing"
"144","2021-11-14 15:29:29",12.312415,56.131032,705845.137378098,6225606.03673928,"01-sailing"
"145","2021-11-14 15:29:39",12.312632,56.131297,705857.200236384,6225636.16026158,"01-sailing"
"146","2021-11-14 15:29:49",12.312912,56.131653,705872.689741828,6225676.59376372,"01-sailing"
"147","2021-11-14 15:30:00",12.313133,56.131958,705884.786761097,6225711.1784831,"01-sailing"
"148","2021-11-14 15:30:10",12.313358,56.132262,705897.137363443,6225745.66395643,"01-sailing"
"149","2021-11-14 15:30:18",12.313548,56.132503,705907.650593535,6225773.03752122,"01-sailing"
"150","2021-11-14 15:30:30",12.313807,56.13283,705921.989674576,6225810.18287409,"01-sailing"
"151","2021-11-14 15:30:39",12.314008,56.133102,705933.020011429,6225841.03746253,"01-sailing"
"152","2021-11-14 15:30:49",12.31426,56.133432,705946.907745061,6225878.49569276,"01-sailing"
"153","2021-11-14 15:31:00",12.314475,56.133732,705958.657490433,6225912.5065863,"01-sailing"
